Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1164,2019,October,770.0,Roanoke City,5554.0,19760.0,346340.03,1134.0,6167.0,37.2778301,-79.9584716,Matching and updated,POINT (-79.9584716 37.2778301)
1165,2019,March,25.0,Brunswick County,236.0,894.0,14341.0,0.0,0.0,36.7645309,-77.8609162,Matching and updated,POINT (-77.8609162 36.7645309)
1166,2021,July,195.0,Wise County,675.0,1803.0,39125.3,0.0,0.0,36.9745607,-82.6215601,Matching and updated,POINT (-82.6215601 36.9745607)
1167,2020,February,103.0,Lancaster County,450.0,905.0,84975.0,0.0,0.0,37.7038307,-76.4131985,Matching and updated,POINT (-76.4131985 37.7038307)
1168,2021,June,31.0,Campbell County,987.0,2117.0,108594.04,0.0,0.0,37.210151,-79.0954285,Matching and updated,POINT (-79.0954285 37.210151)
1169,2020,October,31.0,Campbell County,1187.0,2554.0,119556.73,46.0,0.0,37.210151,-79.0954285,Matching and updated,POINT (-79.0954285 37.210151)
1170,2019,February,19.0,BEDFORD COUNTY,300.0,780.0,16801.44,0.0,0.0,37.3124079,-79.5279466,Matching and updated,POINT (-79.5279466 37.3124079)
1171,2019,March,127.0,New Kent County,75.0,2722.0,0.0,0.0,0.0,37.5029094,-76.9828566,Matching and updated,POINT (-76.9828566 37.5029094)
1172,2019,July,141.0,Patrick County,920.0,2483.0,15955.4,0.0,0.0,36.6673274,-80.2861409,Matching and updated,POINT (-80.2861409 36.6673274)
1173,2020,August,775.0,Salem City,604.0,1513.0,18864.99,0.0,0.0,37.2853329,-80.0552407,Matching and updated,POINT (-80.0552407 37.2853329)
1174,2019,August,119.0,Middlesex County,468.0,794.0,12942.0,0.0,0.0,37.6069753,-76.5280819,Matching and updated,POINT (-76.5280819 37.6069753)
